unit	additional_building_requirement	campaign_cap	caste	create_time	is_naval	land_unit	num_men	multiplayer_cap	multiplayer_cost	naval_unit	num_ships	min_men_per_ship	max_men_per_ship	recruitment_cost	upkeep_cost	weight	resource_requirement	special_edition_mask	in_encyclopedia	audio_voiceover_culture	ui_unit_group_land	tier	is_high_threat	porthole_camera	mount	use_hitpoints_in_campaign	porthole_composite_scene	melee_cp	missile_cp	can_siege	audio_voiceover_culture_override	restrict_xp_gain_in_campaign	audio_voiceover_actor_group	food_cost	has_spoken_vo	is_monstrous	multiplayer_qb_cap	vo_is_dragon	vo_is_dinosaur	optional_ui_element	barrier_health	can_be_bribed	point_allowance_weight	is_renown
#main_units_tables;7;db/main_units_tables/!!!@LOW_Dragon_Princes_Legion
low_hef_inf_dragon_legion_corsairs_handbows_01		-1	missile_infantry	1	false	low_hef_inf_dragon_legion_corsairs_handbows_01	100	0	950	wh_main_shp_transport	1	1	100	950	250	medium		0	true	wh2_main_vo_culture_High_Elves	wh2_main_def_missile_infantry_handbow	3	false	wef_infantry_15_degrees		false		750.0000	375.0000	false	wef_infantry_15_degrees	false	wh2_main_vo_actor_High_Elves_Infantry	0	true	false	6	false	false		0.0000	false	1	false
low_hef_inf_dragon_legion_dragon_guard_archers_0		-1	missile_infantry	2	false	low_hef_inf_dragon_legion_dragon_guard_archers_0	80	0	1600	wh_main_shp_transport	1	1	80	1600	375	medium		0	true	wh2_main_vo_culture_High_Elves	wh2_main_hef_missile_infantry_bow_spear	3	false	def_black_guard		false		1400.0000	825.0000	false	def_black_guard	false	wh2_main_vo_actor_High_Elves_Infantry	0	true	false	6	false	false		0.0000	false	1	false
low_hef_inf_dragon_legion_spearmen_0		-1	melee_infantry	2	false	low_hef_inf_dragon_legion_spearmen_0	100	0	1000	wh_main_shp_transport	1	1	100	1000	200	medium		0	true	wh2_main_vo_culture_High_Elves	infantry_spear	3	false	wef_infantry_15_degrees		false		1000.0000	0.0000	false	vo_culture_None	false	wh2_main_vo_actor_High_Elves_Infantry	0	true	false	6	false	false		0.0000	false	1	false
low_hef_cav_dragon_legion_caledorian_chariot_0		-1	chariot	2	false	low_hef_cav_dragon_legion_caledorian_chariot_0	12	0	1100	wh_main_shp_transport	1	1	12	1100	275	heavy		0	true	wh2_main_vo_culture_High_Elves	missile_chariot	3	true	default		false	composite_scene\porthole\ithilmar_chariot_porthole_01.csc	1100.0000	0.0000	false	vo_culture_None	false	wh2_main_vo_actor_High_Elves_Mounted	0	true	false	6	false	false		0.0000	false	1	false
low_hef_inf_dragon_legion_corsairs_arbalests_01		-1	missile_infantry	1	false	low_hef_inf_dragon_legion_corsairs_arbalests_01	80	0	1250	wh_main_shp_transport	1	1	80	1250	275	medium		0	true	wh2_main_vo_culture_High_Elves	missile_infantry_bow	3	false	wef_infantry_15_degrees		false		120.0000	480.0000	false	wef_infantry_15_degrees	false	wh2_main_vo_actor_High_Elves_Infantry	0	true	false	6	false	false		0.0000	false	1	false
low_hef_cav_dragon_legion_knights_0		-1	melee_cavalry	2	false	low_hef_cav_dragon_legion_knights_0	60	0	1400	wh_main_shp_transport	1	1	60	1400	350	heavy		0	true	wh2_main_vo_culture_High_Elves	cavalry	3	false	emp_reiksguard		false		1400.0000	0.0000	false	vo_culture_None	false	wh2_main_vo_actor_High_Elves_Mounted	0	true	false	6	false	false		0.0000	false	1	false
low_hef_art_dragon_legion_bolt_thrower		-1	warmachine	1	false	low_hef_art_dragon_legion_bolt_thrower	32	0	900	wh_main_shp_transport	1	1	32	900	225	very_heavy		0	true	wh2_main_vo_culture_High_Elves	wh_dlc06_bolt_thrower	3	false	default		false		70.0000	830.0000	true	vo_culture_None	false	wh2_main_vo_actor_High_Elves_Infantry	0	true	false	6	false	false		0.0000	false	1	false
low_hef_inf_dragon_legion_corsairs_dual_swords_01		-1	melee_infantry	1	false	low_hef_inf_dragon_legion_corsairs_dual_swords_01	100	0	900	wh_main_shp_transport	1	1	100	900	250	medium		0	true	wh2_main_vo_culture_High_Elves	wh2_main_infantry_dual_swords	3	false	wef_infantry_30_degrees		false		800.0000	0.0000	false	wef_infantry_30_degrees	false	wh2_main_vo_actor_High_Elves_Infantry	0	true	false	6	false	false		0.0000	false	1	false
low_hef_inf_dragon_legion_dragon_guard_0		-1	melee_infantry	2	false	low_hef_inf_dragon_legion_dragon_guard_0	100	0	1400	wh_main_shp_transport	1	1	100	1400	350	medium		0	true	wh2_main_vo_culture_High_Elves	infantry_spear_halberd	3	false	def_black_guard		false		1400.0000	0.0000	false	def_black_guard	false	wh2_main_vo_actor_High_Elves_Infantry	0	true	false	6	false	false		0.0000	false	1	false
low_hef_inf_dragon_legion_corsairs_crossbow_shield_01		-1	missile_infantry	1	false	low_hef_inf_dragon_legion_corsairs_crossbow_shield_01	80	0	1250	wh_main_shp_transport	1	1	80	1150	275	medium		0	true	wh2_main_vo_culture_High_Elves	missile_infantry_bow	3	false	wef_infantry_15_degrees		false		195.0000	480.0000	false	wef_infantry_15_degrees	false	wh2_main_vo_actor_High_Elves_Infantry	0	true	false	6	false	false		0.0000	false	1	false
low_hef_inf_dragon_legion_swordmasters_0		-1	melee_infantry	2	false	low_hef_inf_dragon_legion_swordmasters_0	100	0	1400	wh_main_shp_transport	1	1	100	1400	312	medium		0	true	wh2_main_vo_culture_High_Elves	infantry_sword_great	3	false	wef_infantry_15_degrees		false		1400.0000	0.0000	false	wef_infantry_15_degrees	false	wh2_main_vo_actor_High_Elves_Infantry	0	true	false	6	false	false		0.0000	false	1	false
low_hef_cav_dragon_legion_knights_1		-1	melee_cavalry	2	false	low_hef_cav_dragon_legion_knights_1	60	0	1400	wh_main_shp_transport	1	1	60	1400	350	heavy		0	true	wh2_main_vo_culture_High_Elves	shock_cavalry	3	false	emp_reiksguard		false		1400.0000	0.0000	false	vo_culture_None	false	wh2_main_vo_actor_High_Elves_Mounted	0	true	false	6	false	false		0.0000	false	1	false
